batch_index,seed,products_final,mode,num_enzymes,gox_count,hrp_count,num_substrate,dt,total_time
1,816576,4491.99999999985,MSE,100,50,50,9000,0.0015,50
2,906734,4545.99999999984,MSE,100,50,50,9000,0.0015,50
3,135716,4505.99999999985,MSE,100,50,50,9000,0.0015,50
4,914242,4560.99999999984,MSE,100,50,50,9000,0.0015,50
5,636035,4579.99999999984,MSE,100,50,50,9000,0.0015,50
6,106565,4589.99999999983,MSE,100,50,50,9000,0.0015,50
7,285713,4601.99999999983,MSE,100,50,50,9000,0.0015,50
8,551412,4512.99999999985,MSE,100,50,50,9000,0.0015,50
9,957931,4583.99999999984,MSE,100,50,50,9000,0.0015,50
10,965239,4593.99999999983,MSE,100,50,50,9000,0.0015,50
11,166036,4499.99999999985,MSE,100,50,50,9000,0.0015,50
12,970886,4474.99999999985,MSE,100,50,50,9000,0.0015,50
13,957595,4531.99999999984,MSE,100,50,50,9000,0.0015,50
14,490521,4528.99999999983,MSE,100,50,50,9000,0.0015,50
15,802277,4498.99999999985,MSE,100,50,50,9000,0.0015,50
16,150467,4554.99999999984,MSE,100,50,50,9000,0.0015,50
17,427543,4522.99999999985,MSE,100,50,50,9000,0.0015,50
18,916578,4543.99999999984,MSE,100,50,50,9000,0.0015,50
19,794285,4577.99999999984,MSE,100,50,50,9000,0.0015,50
20,959897,4490.99999999985,MSE,100,50,50,9000,0.0015,50
21,659183,4519.99999999984,MSE,100,50,50,9000,0.0015,50
22,45354,4602.99999999984,MSE,100,50,50,9000,0.0015,50
23,850638,4564.99999999984,MSE,100,50,50,9000,0.0015,50
24,934653,4525.99999999984,MSE,100,50,50,9000,0.0015,50
25,681947,4541.99999999984,MSE,100,50,50,9000,0.0015,50
26,760162,4581.99999999982,MSE,100,50,50,9000,0.0015,50
27,745701,4613.99999999983,MSE,100,50,50,9000,0.0015,50
28,398304,4443.99999999986,MSE,100,50,50,9000,0.0015,50
29,658923,4554.99999999984,MSE,100,50,50,9000,0.0015,50
30,179474,4539.99999999985,MSE,100,50,50,9000,0.0015,50
31,708985,4545.99999999984,MSE,100,50,50,9000,0.0015,50
32,41514,4438.99999999985,MSE,100,50,50,9000,0.0015,50
33,284153,4598.99999999983,MSE,100,50,50,9000,0.0015,50
34,55709,4465.99999999986,MSE,100,50,50,9000,0.0015,50
35,106160,4670.99999999981,MSE,100,50,50,9000,0.0015,50
36,825223,4519.99999999984,MSE,100,50,50,9000,0.0015,50
37,697880,4626.99999999983,MSE,100,50,50,9000,0.0015,50
38,323928,4458.99999999986,MSE,100,50,50,9000,0.0015,50
39,950719,4611.99999999983,MSE,100,50,50,9000,0.0015,50
40,44101,4563.99999999983,MSE,100,50,50,9000,0.0015,50
41,444356,4527.99999999984,MSE,100,50,50,9000,0.0015,50
42,387742,4571.99999999983,MSE,100,50,50,9000,0.0015,50
43,767861,4539.99999999984,MSE,100,50,50,9000,0.0015,50
