batch_index,seed,products_final,mode,num_enzymes,gox_count,hrp_count,num_substrate,dt,total_time
1,816576,8975.00000000067,bulk,100,50,50,9000,0.0015,50
2,906734,8971.00000000066,bulk,100,50,50,9000,0.0015,50
3,135716,8987.00000000063,bulk,100,50,50,9000,0.0015,50
4,914242,8957.00000000067,bulk,100,50,50,9000,0.0015,50
5,636035,8975.00000000065,bulk,100,50,50,9000,0.0015,50
6,106565,8973.00000000064,bulk,100,50,50,9000,0.0015,50
7,285713,8980.00000000068,bulk,100,50,50,9000,0.0015,50
8,551412,8984.00000000061,bulk,100,50,50,9000,0.0015,50
9,957931,8986.00000000065,bulk,100,50,50,9000,0.0015,50
10,965239,8987.00000000067,bulk,100,50,50,9000,0.0015,50
11,166036,8933.00000000065,bulk,100,50,50,9000,0.0015,50
12,970886,8971.00000000064,bulk,100,50,50,9000,0.0015,50
13,957595,8940.00000000066,bulk,100,50,50,9000,0.0015,50
14,490521,8993.00000000063,bulk,100,50,50,9000,0.0015,50
15,802277,8975.00000000068,bulk,100,50,50,9000,0.0015,50
16,150467,8957.00000000068,bulk,100,50,50,9000,0.0015,50
17,427543,8982.00000000067,bulk,100,50,50,9000,0.0015,50
18,916578,8953.00000000065,bulk,100,50,50,9000,0.0015,50
19,794285,8988.00000000064,bulk,100,50,50,9000,0.0015,50
20,959897,8973.00000000065,bulk,100,50,50,9000,0.0015,50
21,659183,8982.00000000059,bulk,100,50,50,9000,0.0015,50
22,45354,8989.00000000064,bulk,100,50,50,9000,0.0015,50
23,850638,8988.00000000066,bulk,100,50,50,9000,0.0015,50
24,934653,8969.00000000068,bulk,100,50,50,9000,0.0015,50
25,681947,8911.00000000065,bulk,100,50,50,9000,0.0015,50
26,760162,8985.00000000066,bulk,100,50,50,9000,0.0015,50
27,745701,8910.00000000063,bulk,100,50,50,9000,0.0015,50
28,398304,8972.00000000065,bulk,100,50,50,9000,0.0015,50
29,658923,8984.00000000064,bulk,100,50,50,9000,0.0015,50
30,179474,8975.00000000063,bulk,100,50,50,9000,0.0015,50
31,708985,8980.00000000064,bulk,100,50,50,9000,0.0015,50
32,41514,8995.00000000066,bulk,100,50,50,9000,0.0015,50
33,284153,8932.00000000066,bulk,100,50,50,9000,0.0015,50
34,55709,8956.00000000066,bulk,100,50,50,9000,0.0015,50
35,106160,8979.00000000062,bulk,100,50,50,9000,0.0015,50
36,825223,8985.00000000065,bulk,100,50,50,9000,0.0015,50
37,697880,8966.00000000066,bulk,100,50,50,9000,0.0015,50
38,323928,8979.00000000067,bulk,100,50,50,9000,0.0015,50
39,950719,8935.00000000065,bulk,100,50,50,9000,0.0015,50
40,44101,8980.00000000065,bulk,100,50,50,9000,0.0015,50
41,444356,8988.00000000068,bulk,100,50,50,9000,0.0015,50
42,387742,8962.0000000007,bulk,100,50,50,9000,0.0015,50
43,767861,8986.00000000069,bulk,100,50,50,9000,0.0015,50
44,797247,8990.00000000063,bulk,100,50,50,9000,0.0015,50
45,195003,8979.00000000065,bulk,100,50,50,9000,0.0015,50
46,494866,8983.00000000066,bulk,100,50,50,9000,0.0015,50
47,451130,8935.00000000069,bulk,100,50,50,9000,0.0015,50
48,649849,8887.00000000067,bulk,100,50,50,9000,0.0015,50
49,712271,8954.00000000062,bulk,100,50,50,9000,0.0015,50
50,757139,8997.00000000067,bulk,100,50,50,9000,0.0015,50
51,283264,8981.00000000065,bulk,100,50,50,9000,0.0015,50
52,682905,8986.00000000064,bulk,100,50,50,9000,0.0015,50
