batch_index,seed,products_final,mode,num_enzymes,gox_count,hrp_count,num_substrate,dt,total_time
1,626016,4074.99999999995,MSE,20,10,10,9000,0.0015,50
2,955004,4013.99999999995,MSE,20,10,10,9000,0.0015,50
3,345395,3761,MSE,20,10,10,9000,0.0015,50
4,259865,4132.99999999992,MSE,20,10,10,9000,0.0015,50
5,863861,3295.0000000001,MSE,20,10,10,9000,0.0015,50
6,30133,3433.00000000007,MSE,20,10,10,9000,0.0015,50
7,678010,3872.99999999999,MSE,20,10,10,9000,0.0015,50
8,361718,3858.99999999998,MSE,20,10,10,9000,0.0015,50
9,292427,3395.00000000008,MSE,20,10,10,9000,0.0015,50
10,156315,3663.00000000002,MSE,20,10,10,9000,0.0015,50
11,12951,3620.00000000004,MSE,20,10,10,9000,0.0015,50
12,872742,3924.99999999997,MSE,20,10,10,9000,0.0015,50
13,591981,3439.00000000006,MSE,20,10,10,9000,0.0015,50
14,883675,3911.99999999997,MSE,20,10,10,9000,0.0015,50
15,192454,3742,MSE,20,10,10,9000,0.0015,50
16,195649,2936.0000000001,MSE,20,10,10,9000,0.0015,50
17,687543,3779,MSE,20,10,10,9000,0.0015,50
18,946899,3334.00000000009,MSE,20,10,10,9000,0.0015,50
19,476292,3756.00000000001,MSE,20,10,10,9000,0.0015,50
20,219577,3769,MSE,20,10,10,9000,0.0015,50
21,115752,3888.99999999997,MSE,20,10,10,9000,0.0015,50
22,987519,3595.00000000004,MSE,20,10,10,9000,0.0015,50
23,909939,3768.00000000001,MSE,20,10,10,9000,0.0015,50
24,123723,3766.99999999999,MSE,20,10,10,9000,0.0015,50
25,443645,3791.99999999999,MSE,20,10,10,9000,0.0015,50
26,528731,3901.99999999997,MSE,20,10,10,9000,0.0015,50
27,371555,3721.00000000001,MSE,20,10,10,9000,0.0015,50
28,509078,3806.99999999999,MSE,20,10,10,9000,0.0015,50
29,536144,3679.00000000002,MSE,20,10,10,9000,0.0015,50
30,522418,3551.00000000004,MSE,20,10,10,9000,0.0015,50
31,39829,3477.00000000006,MSE,20,10,10,9000,0.0015,50
32,145717,3672.00000000001,MSE,20,10,10,9000,0.0015,50
33,845159,3723,MSE,20,10,10,9000,0.0015,50
34,904024,3825,MSE,20,10,10,9000,0.0015,50
35,456442,3903.99999999997,MSE,20,10,10,9000,0.0015,50
36,377460,3030.00000000012,MSE,20,10,10,9000,0.0015,50
37,616290,3459.00000000006,MSE,20,10,10,9000,0.0015,50
38,270026,3753,MSE,20,10,10,9000,0.0015,50
39,907395,3909.99999999997,MSE,20,10,10,9000,0.0015,50
40,917730,3665.00000000002,MSE,20,10,10,9000,0.0015,50
41,761799,3465.00000000007,MSE,20,10,10,9000,0.0015,50
42,807596,3590.00000000004,MSE,20,10,10,9000,0.0015,50
43,717464,3757.00000000001,MSE,20,10,10,9000,0.0015,50
44,703380,3889.99999999997,MSE,20,10,10,9000,0.0015,50
45,588577,3833.99999999999,MSE,20,10,10,9000,0.0015,50
46,565475,3631.00000000003,MSE,20,10,10,9000,0.0015,50
47,677403,3742.00000000001,MSE,20,10,10,9000,0.0015,50
48,742019,3824.99999999999,MSE,20,10,10,9000,0.0015,50
49,265250,3586.00000000004,MSE,20,10,10,9000,0.0015,50
50,880872,3663.00000000003,MSE,20,10,10,9000,0.0015,50
51,951114,3818.99999999999,MSE,20,10,10,9000,0.0015,50
52,240153,3717.00000000001,MSE,20,10,10,9000,0.0015,50
53,874406,4128.99999999993,MSE,20,10,10,9000,0.0015,50
54,825844,3555.00000000004,MSE,20,10,10,9000,0.0015,50
55,164988,3341.00000000009,MSE,20,10,10,9000,0.0015,50
56,324517,4008.99999999995,MSE,20,10,10,9000,0.0015,50
57,11431,3954.99999999996,MSE,20,10,10,9000,0.0015,50
58,600981,3632.00000000003,MSE,20,10,10,9000,0.0015,50
59,375558,3705,MSE,20,10,10,9000,0.0015,50
60,510588,3971.99999999995,MSE,20,10,10,9000,0.0015,50
61,372570,3735.00000000001,MSE,20,10,10,9000,0.0015,50
62,79492,3870.99999999998,MSE,20,10,10,9000,0.0015,50
63,808428,2839.0000000001,MSE,20,10,10,9000,0.0015,50
64,66657,3664.00000000002,MSE,20,10,10,9000,0.0015,50
65,369218,3797,MSE,20,10,10,9000,0.0015,50
66,821476,3602.00000000003,MSE,20,10,10,9000,0.0015,50
67,150459,3659.00000000002,MSE,20,10,10,9000,0.0015,50
68,842701,3794,MSE,20,10,10,9000,0.0015,50
69,694541,3784.99999999999,MSE,20,10,10,9000,0.0015,50
70,572159,3582.00000000004,MSE,20,10,10,9000,0.0015,50
71,818614,3860.99999999998,MSE,20,10,10,9000,0.0015,50
72,501302,2677.00000000008,MSE,20,10,10,9000,0.0015,50
73,862249,3652.00000000003,MSE,20,10,10,9000,0.0015,50
74,823774,3779,MSE,20,10,10,9000,0.0015,50
75,678811,3836.99999999998,MSE,20,10,10,9000,0.0015,50
76,559326,3748,MSE,20,10,10,9000,0.0015,50
77,50315,3914.99999999996,MSE,20,10,10,9000,0.0015,50
78,744654,3564.00000000005,MSE,20,10,10,9000,0.0015,50
79,803092,3810.99999999999,MSE,20,10,10,9000,0.0015,50
80,704565,3956.99999999996,MSE,20,10,10,9000,0.0015,50
81,991843,3452.00000000007,MSE,20,10,10,9000,0.0015,50
82,611342,3744.00000000001,MSE,20,10,10,9000,0.0015,50
83,400033,3501.00000000006,MSE,20,10,10,9000,0.0015,50
84,141093,4113.99999999991,MSE,20,10,10,9000,0.0015,50
85,983226,3524.00000000006,MSE,20,10,10,9000,0.0015,50
86,791460,3277.0000000001,MSE,20,10,10,9000,0.0015,50
87,457505,3676.00000000002,MSE,20,10,10,9000,0.0015,50
