batch_index,seed
1,626016
2,955004
3,345395
4,259865
5,863861
6,30133
7,678010
8,361718
9,292427
10,156315
11,12951
12,872742
13,591981
14,883675
15,192454
16,195649
17,687543
18,946899
19,476292
20,219577
21,115752
22,987519
23,909939
24,123723
25,443645
26,528731
27,371555
28,509078
29,536144
30,522418
31,39829
32,145717
33,845159
34,904024
35,456442
36,377460
37,616290
38,270026
39,907395
40,917730
41,761799
42,807596
43,717464
44,703380
45,588577
46,565475
47,677403
48,742019
49,265250
50,880872
51,951114
52,240153
53,874406
54,825844
55,164988
56,324517
57,11431
58,600981
59,375558
60,510588
61,372570
62,79492
63,808428
64,66657
65,369218
66,821476
67,150459
68,842701
69,694541
70,572159
71,818614
72,501302
73,862249
74,823774
75,678811
76,559326
77,50315
78,744654
79,803092
80,704565
81,991843
82,611342
83,400033
84,141093
85,983226
86,791460
87,457505
88,691846
89,570098
90,437200
91,167772
92,563632
93,116732
94,735435
95,351609
96,709701
97,743761
98,562091
99,253954
100,553249
101,168851
102,72879
103,942849
104,205608
105,331887
106,400577
107,541597
108,802948
109,502375
110,202148
111,822108
112,475255
113,984605
114,559025
115,203428
116,529096
117,83133
118,917185
119,764556
120,19482
121,503896
122,116020
123,562888
124,394075
125,174109
126,512589
127,703665
128,408991
129,97602
130,473975
131,319722
132,561640
133,868841
134,68812
135,55907
136,672270
137,312929
138,897301
139,732320
140,880344
141,679112
142,402573
143,327086
144,927181
145,483601
146,780742
147,272859
148,967113
149,908377
150,947191
151,282890
152,815126
153,951063
154,439095
155,522056
156,723531
157,633616
158,424910
159,615060
160,656901
161,505704
162,880942
163,598783
164,473651
165,984505
166,390923
167,543507
168,266015
169,219151
170,739416
171,454925
172,954512
173,720637
174,52169
175,889820
176,716683
177,754975
178,564388
179,59782
180,361480
181,318751
182,909489
183,704831
184,547289
185,679370
186,371091
187,390400
188,302772
189,388456
190,583420
191,138578
192,439134
193,137954
194,990089
195,996515
196,422036
197,721535
198,975882
199,959950
200,670990
